p_value_sd,effect_size_sd,aligner,min_phred,min_length,trim_poly_g,trim_poly_x,norm_method
0.21748291156863309,0.5644736112458052,STAR,20,35,0,0,none
0.21758539816062825,0.5678949034704047,STAR,20,36,0,0,upperquartile
0.21748851795597027,0.5628120495270819,STAR,20,36,1,1,none
0.21739373113634378,0.5643996862579579,STAR,20,42,0,1,none
0.21772004418397964,0.5674967075493375,STAR,20,42,1,0,TMM
0.21770476293498708,0.56695826141499,STAR,20,43,1,0,RLE
0.21775009218035418,0.5676197919345313,STAR,20,44,0,0,TMM
0.217745708829816,0.5659116363802077,STAR,20,44,1,1,TMM
0.21752529660687137,0.5645023485359258,STAR,20,45,1,0,none
0.217693093514293,0.5651314021100725,STAR,20,48,0,1,RLE
0.2174533899396021,0.5626589902848361,STAR,20,49,1,1,none
0.2176332611827538,0.5661089050275778,STAR,20,50,0,1,upperquartile
0.2176605762065227,0.567018680163206,STAR,21,31,0,1,RLE
0.21774761522426167,0.5659021752768976,STAR,21,31,1,0,TMM
0.21767004352610272,0.5675237901993159,STAR,21,36,0,1,TMM
0.21762282972735894,0.5666357809706561,STAR,21,49,0,0,TMMwsp
0.2174533899396021,0.5626589902848361,STAR,21,50,1,1,none
0.21745549133693295,0.564403003389834,STAR,22,32,0,1,none
0.2175745011636943,0.5666543591356851,STAR,22,36,1,0,TMMwsp
0.21769801812615514,0.5670503059550857,STAR,22,40,0,0,RLE
0.2176002239926859,0.5680145851431986,STAR,22,42,1,0,upperquartile
0.21760235957897378,0.5679478575816582,STAR,22,43,0,0,upperquartile
0.21755953926926183,0.5675928308123122,STAR,22,43,0,1,upperquartile
0.21766404836661288,0.5667916881338015,STAR,22,43,1,1,RLE
0.2177219224302784,0.5656801796871186,STAR,22,46,1,1,TMM
0.217693093514293,0.5651314021100725,STAR,22,49,0,1,RLE
0.21762282972735894,0.5666357809706561,STAR,22,50,0,0,TMMwsp
0.21766758092840843,0.5675606424176777,STAR,23,30,1,0,TMM
0.21746285124680992,0.5628823651383553,STAR,23,31,1,1,none
0.21764473014899297,0.5675057034940447,STAR,23,32,1,1,TMM
