"intercept","min_phred","min_length","count_sd","aligner_kallisto","aligner_salmon","aligner_STAR","trim_poly_g_X1","trim_poly_x_X1","min_phred_x_min_length","min_phred_x_aligner_kallisto","min_phred_x_aligner_salmon","min_phred_x_aligner_STAR","min_phred_x_trim_poly_g_X1","min_phred_x_trim_poly_x_X1","min_length_x_aligner_kallisto","min_length_x_aligner_salmon","min_length_x_aligner_STAR","min_length_x_trim_poly_g_X1","min_length_x_trim_poly_x_X1","aligner_kallisto_x_trim_poly_g_X1","aligner_kallisto_x_trim_poly_x_X1","aligner_salmon_x_trim_poly_g_X1","aligner_salmon_x_trim_poly_x_X1","aligner_STAR_x_trim_poly_g_X1","aligner_STAR_x_trim_poly_x_X1","trim_poly_g_X1_x_trim_poly_x_X1"
1,24,39,2316.14168333884,0,1,0,0,0,936,0,24,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
1,23,49,2226.86126937902,1,0,0,1,1,1127,23,0,0,23,23,49,0,0,49,49,1,1,0,0,0,0,1
1,28,32,2225.52127120442,1,0,0,0,0,896,28,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
1,20,42,2230.20696600058,1,0,0,1,1,840,20,0,0,20,20,42,0,0,42,42,1,1,0,0,0,0,1
1,23,50,2226.86126937902,1,0,0,1,1,1150,23,0,0,23,23,50,0,0,50,50,1,1,0,0,0,0,1
1,21,36,2234.68590517241,1,0,0,0,0,756,21,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
1,27,34,2232.37293848153,1,0,0,0,1,918,27,0,0,0,27,34,0,0,0,34,0,1,0,0,0,0,0
1,25,38,2232.35359203214,1,0,0,0,1,950,25,0,0,0,25,38,0,0,0,38,0,1,0,0,0,0,0
1,26,35,2233.77991054778,1,0,0,0,0,910,26,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
1,22,33,2234.61623916389,1,0,0,1,0,726,22,0,0,22,0,33,0,0,33,0,1,0,0,0,0,0,0
1,20,40,2317.07324371641,0,1,0,1,0,800,0,20,0,20,0,0,40,0,40,0,0,0,1,0,0,0,0
