"intercept","min_phred","min_length","effect_size_sd","aligner_salmon","trim_poly_g_X1","trim_poly_x_X1","norm_method_none","norm_method_RLE","norm_method_TMM","norm_method_TMMwsp","norm_method_upperquartile","min_phred_x_min_length","min_phred_x_aligner_salmon","min_phred_x_trim_poly_g_X1","min_phred_x_trim_poly_x_X1","min_phred_x_norm_method_none","min_phred_x_norm_method_RLE","min_phred_x_norm_method_TMM","min_phred_x_norm_method_TMMwsp","min_phred_x_norm_method_upperquartile","min_length_x_aligner_salmon","min_length_x_trim_poly_g_X1","min_length_x_trim_poly_x_X1","min_length_x_norm_method_none","min_length_x_norm_method_RLE","min_length_x_norm_method_TMM","min_length_x_norm_method_TMMwsp","min_length_x_norm_method_upperquartile","aligner_salmon_x_trim_poly_g_X1","aligner_salmon_x_trim_poly_x_X1","aligner_salmon_x_norm_method_none","aligner_salmon_x_norm_method_RLE","aligner_salmon_x_norm_method_TMM","aligner_salmon_x_norm_method_TMMwsp","aligner_salmon_x_norm_method_upperquartile","trim_poly_g_X1_x_trim_poly_x_X1","trim_poly_g_X1_x_norm_method_none","trim_poly_g_X1_x_norm_method_RLE","trim_poly_g_X1_x_norm_method_TMM","trim_poly_g_X1_x_norm_method_TMMwsp","trim_poly_g_X1_x_norm_method_upperquartile","trim_poly_x_X1_x_norm_method_none","trim_poly_x_X1_x_norm_method_RLE","trim_poly_x_X1_x_norm_method_TMM","trim_poly_x_X1_x_norm_method_TMMwsp","trim_poly_x_X1_x_norm_method_upperquartile"
1,24,39,0.987784590375508,1,0,0,0,1,0,0,0,936,24,0,0,0,24,0,0,0,39,0,0,0,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,49,0.977265732180612,0,1,1,0,0,1,0,0,1127,0,23,23,0,0,23,0,0,0,49,49,0,0,49,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,28,32,0.974632418665567,0,0,0,0,1,0,0,0,896,0,0,0,0,28,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,42,0.975353449364197,0,1,1,0,0,0,1,0,840,0,20,20,0,0,0,20,0,0,42,42,0,0,0,42,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,23,50,0.979311498422687,0,1,1,1,0,0,0,0,1150,0,23,23,23,0,0,0,0,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,21,36,0.975105649596656,0,0,0,0,0,1,0,0,756,0,0,0,0,0,21,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,38,0.971711376156174,0,0,1,0,0,0,0,1,950,0,0,25,0,0,0,0,25,0,0,38,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,26,35,0.971954538261327,0,0,0,0,0,0,0,1,910,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,33,0.974734312502735,0,1,0,0,0,0,1,0,726,0,22,0,0,0,0,22,0,0,33,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,20,40,0.988629052871469,1,1,0,0,1,0,0,0,800,20,20,0,0,20,0,0,0,40,40,0,0,40,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,28,46,0.989978778565321,1,1,1,0,0,1,0,0,1288,28,28,28,0,0,28,0,0,46,46,46,0,0,46,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,28,30,0.994174622040318,1,0,1,1,0,0,0,0,840,28,0,28,28,0,0,0,0,30,0,30,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,27,44,0.989981927215259,1,1,0,0,1,0,0,0,1188,27,27,0,0,27,0,0,0,44,44,0,0,44,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,23,36,0.977263771853268,0,0,0,1,0,0,0,0,828,0,0,0,23,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,29,31,0.991147335474992,1,1,0,0,0,1,0,0,899,29,29,0,0,0,29,0,0,31,31,0,0,0,31,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,23,46,0.986011602227194,1,1,0,0,0,0,0,1,1058,23,23,0,0,0,0,0,23,46,46,0,0,0,0,0,46,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,23,37,0.974744678842042,0,1,1,0,0,0,1,0,851,0,23,23,0,0,0,23,0,0,37,37,0,0,0,37,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
