"intercept","min_phred","min_length","p_value_sd","aligner_kallisto","aligner_salmon","aligner_STAR","trim_poly_g_X1","trim_poly_x_X1","norm_method_none","norm_method_RLE","norm_method_TMM","norm_method_TMMwsp","norm_method_upperquartile","min_phred_x_min_length","min_phred_x_aligner_kallisto","min_phred_x_aligner_salmon","min_phred_x_aligner_STAR","min_phred_x_trim_poly_g_X1","min_phred_x_trim_poly_x_X1","min_phred_x_norm_method_none","min_phred_x_norm_method_RLE","min_phred_x_norm_method_TMM","min_phred_x_norm_method_TMMwsp","min_phred_x_norm_method_upperquartile","min_length_x_aligner_kallisto","min_length_x_aligner_salmon","min_length_x_aligner_STAR","min_length_x_trim_poly_g_X1","min_length_x_trim_poly_x_X1","min_length_x_norm_method_none","min_length_x_norm_method_RLE","min_length_x_norm_method_TMM","min_length_x_norm_method_TMMwsp","min_length_x_norm_method_upperquartile","aligner_kallisto_x_trim_poly_g_X1","aligner_kallisto_x_trim_poly_x_X1","aligner_kallisto_x_norm_method_none","aligner_kallisto_x_norm_method_RLE","aligner_kallisto_x_norm_method_TMM","aligner_kallisto_x_norm_method_TMMwsp","aligner_kallisto_x_norm_method_upperquartile","aligner_salmon_x_trim_poly_g_X1","aligner_salmon_x_trim_poly_x_X1","aligner_salmon_x_norm_method_none","aligner_salmon_x_norm_method_RLE","aligner_salmon_x_norm_method_TMM","aligner_salmon_x_norm_method_TMMwsp","aligner_salmon_x_norm_method_upperquartile","aligner_STAR_x_trim_poly_g_X1","aligner_STAR_x_trim_poly_x_X1","aligner_STAR_x_norm_method_none","aligner_STAR_x_norm_method_RLE","aligner_STAR_x_norm_method_TMM","aligner_STAR_x_norm_method_TMMwsp","aligner_STAR_x_norm_method_upperquartile","trim_poly_g_X1_x_trim_poly_x_X1","trim_poly_g_X1_x_norm_method_none","trim_poly_g_X1_x_norm_method_RLE","trim_poly_g_X1_x_norm_method_TMM","trim_poly_g_X1_x_norm_method_TMMwsp","trim_poly_g_X1_x_norm_method_upperquartile","trim_poly_x_X1_x_norm_method_none","trim_poly_x_X1_x_norm_method_RLE","trim_poly_x_X1_x_norm_method_TMM","trim_poly_x_X1_x_norm_method_TMMwsp","trim_poly_x_X1_x_norm_method_upperquartile"
1,24,39,0.553834248787095,0,1,0,0,0,0,1,0,0,0,936,0,24,0,0,0,0,24,0,0,0,0,39,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,49,0.553341937129808,1,0,0,1,1,0,0,1,0,0,1127,23,0,0,23,23,0,0,23,0,0,49,0,0,49,49,0,0,49,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,28,32,0.552682807866251,1,0,0,0,0,0,1,0,0,0,896,28,0,0,0,0,0,28,0,0,0,32,0,0,0,0,0,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,42,0.553438067303509,1,0,0,1,1,0,0,0,1,0,840,20,0,0,20,20,0,0,0,20,0,42,0,0,42,42,0,0,0,42,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,23,50,0.553388152653041,1,0,0,1,1,1,0,0,0,0,1150,23,0,0,23,23,23,0,0,0,0,50,0,0,50,50,50,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,21,36,0.552894298850544,1,0,0,0,0,0,0,1,0,0,756,21,0,0,0,0,0,0,21,0,0,36,0,0,0,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,34,0.373595984246076,1,0,0,0,1,0,0,0,0,0,918,27,0,0,0,27,0,0,0,0,0,34,0,0,0,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,38,0.552906460394323,1,0,0,0,1,0,0,0,0,1,950,25,0,0,0,25,0,0,0,0,25,38,0,0,0,38,0,0,0,0,38,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,26,35,0.552520552856565,1,0,0,0,0,0,0,0,0,1,910,26,0,0,0,0,0,0,0,0,26,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,33,0.552829272732611,1,0,0,1,0,0,0,0,1,0,726,22,0,0,22,0,0,0,0,22,0,33,0,0,33,0,0,0,0,33,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,20,40,0.55385553031925,0,1,0,1,0,0,1,0,0,0,800,0,20,0,20,0,0,20,0,0,0,0,40,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,28,46,0.553983249779963,0,1,0,1,1,0,0,1,0,0,1288,0,28,0,28,28,0,0,28,0,0,0,46,0,46,46,0,0,46,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,28,30,0.554342147760088,0,1,0,0,1,1,0,0,0,0,840,0,28,0,0,28,28,0,0,0,0,0,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,27,44,0.553948028933423,0,1,0,1,0,0,1,0,0,0,1188,0,27,0,27,0,0,27,0,0,0,0,44,0,44,0,0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,23,36,0.55303834568325,1,0,0,0,0,1,0,0,0,0,828,23,0,0,0,0,23,0,0,0,0,36,0,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,29,31,0.553860212417178,0,1,0,1,0,0,0,1,0,0,899,0,29,0,29,0,0,0,29,0,0,0,31,0,31,0,0,0,31,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,23,46,0.553453742390336,0,1,0,1,0,0,0,0,0,1,1058,0,23,0,23,0,0,0,0,0,23,0,46,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,23,37,0.553211675517601,1,0,0,1,1,0,0,0,1,0,851,23,0,0,23,23,0,0,0,23,0,37,0,0,37,37,0,0,0,37,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,22,40,0.553379832433579,1,0,0,1,1,0,0,1,0,0,880,22,0,0,22,22,0,0,22,0,0,40,0,0,40,40,0,0,40,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,24,31,0.552780797811039,1,0,0,0,0,0,1,0,0,0,744,24,0,0,0,0,0,24,0,0,0,31,0,0,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,44,0.552525674666451,1,0,0,1,0,0,0,0,0,1,924,21,0,0,21,0,0,0,0,0,21,44,0,0,44,0,0,0,0,0,44,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,26,50,0.554500316152532,0,1,0,1,1,1,0,0,0,0,1300,0,26,0,26,26,26,0,0,0,0,0,50,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,20,43,0.553878349374797,0,1,0,0,0,0,0,0,1,0,860,0,20,0,0,0,0,0,0,20,0,0,43,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,45,0.553399828181923,1,0,0,0,1,1,0,0,0,0,1035,23,0,0,0,23,23,0,0,0,0,45,0,0,0,45,45,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,25,49,0.376051668536959,0,1,0,1,1,0,0,0,0,0,1225,0,25,0,25,25,0,0,0,0,0,0,49,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,28,33,0.552806831656801,1,0,0,1,0,0,0,1,0,0,924,28,0,0,28,0,0,0,28,0,0,33,0,0,33,0,0,0,33,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,24,40,0.553376374008464,1,0,0,1,1,0,0,1,0,0,960,24,0,0,24,24,0,0,24,0,0,40,0,0,40,40,0,0,40,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,28,30,0.553020259208136,1,0,0,1,1,0,1,0,0,0,840,28,0,0,28,28,0,28,0,0,0,30,0,0,30,30,0,30,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1,30,47,0.553952782931805,0,1,0,0,1,0,0,1,0,0,1410,0,30,0,0,30,0,0,30,0,0,0,47,0,0,47,0,0,47,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,30,45,0.553926342393555,0,1,0,1,1,0,0,0,1,0,1350,0,30,0,30,30,0,0,0,30,0,0,45,0,45,45,0,0,0,45,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,29,47,0.553805893632122,0,1,0,1,0,0,0,0,1,0,1363,0,29,0,29,0,0,0,0,29,0,0,47,0,47,0,0,0,0,47,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,23,45,0.553673154784984,0,1,0,0,1,0,0,0,0,1,1035,0,23,0,0,23,0,0,0,0,23,0,45,0,0,45,0,0,0,0,45,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,26,48,0.553577306103887,0,1,0,1,1,0,0,0,0,1,1248,0,26,0,26,26,0,0,0,0,26,0,48,0,48,48,0,0,0,0,48,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,20,31,0.553220685471472,1,0,0,0,1,0,0,0,1,0,620,20,0,0,0,20,0,0,0,20,0,31,0,0,0,31,0,0,0,31,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,26,47,0.553236503839721,1,0,0,1,1,0,1,0,0,0,1222,26,0,0,26,26,0,26,0,0,0,47,0,0,47,47,0,47,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
