"p_value_sd","effect_size_sd","aligner","min_phred","min_length","trim_poly_g","trim_poly_x","runtime_sec","norm_method","gene_overlap_percent"
0.554087517190467,0.990982233622481,"salmon",21,40,"1","0",209.252,"default",84.3101629351776
0.552732785476728,0.972476234943979,"kallisto",28,37,"1","1",308.604,"upperquartile",83.5987820587891
0.552376534525588,0.972306114748422,"kallisto",28,30,"0","0",315.582,"upperquartile",83.4960537854429
0.552864356236421,0.971576116188891,"kallisto",23,34,"1","1",499.568,"upperquartile",83.5703001579779
0.55279480975055,0.975823091956465,"kallisto",25,46,"1","0",798.578,"RLE",83.4823776959495
0.373699802650742,1.60082497194784,"kallisto",24,31,"1","0",902.405,"ALDEx2",40.005500550055
0.373865989194417,1.60223466176664,"kallisto",29,49,"1","0",693.778,"ALDEx2",40.0694176629387
0.553334445542022,0.975830411634901,"kallisto",27,43,"0","1",306.709,"default",83.5312701105716
0.55330067025939,0.976882360226845,"kallisto",21,50,"0","1",303.632,"RLE",83.5107627515208
0.373541400005769,1.60399797944522,"kallisto",22,36,"1","1",619.596,"ALDEx2",39.9923017705928
0.3734680882614,1.60124595925283,"kallisto",22,31,"1","1",604.602,"ALDEx2",39.9901028206961
0.552833933921547,0.97590175803376,"kallisto",25,46,"0","0",304.34,"RLE",83.4823776959495
0.552821894841958,0.975572411435978,"kallisto",28,35,"0","0",386.723,"TMM",83.4960537854429
0.37373361956055,1.60279739591279,"kallisto",24,31,"0","0",719.568,"ALDEx2",40.005500550055
0.552921701973954,0.972088390374472,"kallisto",28,41,"1","1",300.601,"upperquartile",83.5498595505618
0.373439741037467,1.60359896079158,"kallisto",26,47,"1","0",1144.677,"ALDEx2",40.0132038621297
0.552908583178571,0.975204552994872,"kallisto",27,38,"0","0",448.701,"TMM",83.4931026420388
0.552824305973078,0.976949065710215,"kallisto",29,50,"0","0",398.857,"default",83.4902075416545
0.553149290831731,0.974109835154549,"kallisto",24,36,"1","1",460.972,"RLE",83.5703001579779
0.553378387452944,0.986220760630102,"salmon",30,49,"0","0",2034.181,"upperquartile",84.3660237997538
0.553408108174809,0.977731538287153,"kallisto",21,48,"1","1",437.735,"default",83.5107627515208
0.552527189581028,0.971864457323917,"kallisto",20,41,"0","0",349.656,"upperquartile",83.4784641458711
0.552863498732206,0.971587115038804,"kallisto",23,34,"0","1",360.678,"upperquartile",83.5703001579779
0.553604255453767,0.985137072079974,"salmon",21,34,"1","1",2729.051,"upperquartile",84.429978888107
0.553210874394756,0.974880897033203,"kallisto",26,33,"1","1",303.882,"TMM",83.5703001579779
0.552730786073269,0.973846592639478,"kallisto",25,30,"1","0",365.566,"RLE",83.5029239766082
0.552833933922639,0.975901758033748,"kallisto",25,48,"0","0",298.592,"RLE",83.4823776959495
0.373642574028889,1.60314343252173,"kallisto",21,48,"1","1",643.02,"ALDEx2",40.0253150624622
0.553160137152195,0.975807549092851,"kallisto",29,33,"1","1",344.833,"default",83.5723064317903
0.552910468832801,0.975209374585081,"kallisto",21,45,"1","0",308.706,"TMM",83.457987612481
0.552495141647841,0.97186388071467,"kallisto",25,41,"1","0",702.604,"upperquartile",83.4931026420388
0.552944386555123,0.97672879288132,"kallisto",21,49,"0","0",876.869,"default",83.4677419354839
0.552899850230436,0.976644829314602,"kallisto",20,50,"1","0",396.093,"TMM",83.4677419354839
0.553990622150565,0.989489777646905,"salmon",27,33,"0","1",3431.565,"TMM",84.4398826979472
0.552781886694135,0.974226172567339,"kallisto",24,35,"0","0",327.656,"RLE",83.4882225729148
0.553411171452621,0.975336778597788,"kallisto",27,42,"1","1",337.044,"TMM",83.521497513893
0.55282132187432,0.975574461147472,"kallisto",29,30,"0","0",325.721,"default",83.4960537854429
0.553292983343469,0.975421756157772,"kallisto",20,43,"1","1",332.585,"RLE",83.506842905603
0.553185299169877,0.974851784457118,"kallisto",25,30,"0","1",334.705,"default",83.5703001579779
0.553408108180127,0.977731538287157,"kallisto",20,49,"1","1",321.708,"default",83.5107627515208
0.553244843221057,0.974985961596596,"kallisto",27,44,"0","1",396.599,"RLE",83.530306576176
0.552855960853821,0.971624565473646,"kallisto",25,33,"0","1",309.665,"upperquartile",83.5703001579779
0.553205150553011,0.973964822458684,"kallisto",23,39,"0","1",299.519,"RLE",83.5654107184648
0.552818245872965,0.972567792788111,"kallisto",30,50,"0","1",284.553,"upperquartile",83.5723903752708
0.552779211447406,0.976856947317047,"kallisto",28,48,"1","0",283.693,"default",83.4902075416545
0.552901334144364,0.975189931429365,"kallisto",26,33,"0","0",444.693,"TMM",83.4882225729148
0.552801487539835,0.974249984407756,"kallisto",23,40,"0","0",292.6,"RLE",83.4931026420388
0.373758539875933,1.60523156354952,"kallisto",24,49,"0","1",780.244,"ALDEx2",40.0363316084994
0.552900317543695,0.975191755249378,"kallisto",26,32,"0","0",317.691,"default",83.4882225729148
0.552500812919661,0.971875826842192,"kallisto",21,31,"1","0",1093.562,"upperquartile",83.4735857877513
0.552850518288963,0.972674300142405,"kallisto",30,39,"0","1",361.607,"upperquartile",83.5723064317903
