"gene","p_value","effect_size"
"ENSG00000170439",9.07671969432689e-05,-3.20009604517706
"ENSG00000198934",0.00012852082406856,-2.82350499584344
"ENSG00000134323",0.000141407929897657,-6.19139647566517
"ENSG00000198576",0.000348945971402647,-1.95842258289339
"ENSG00000205363",0.000376825427380449,-3.441707135863
"ENSG00000015413",0.000419249341846548,-6.01401745316491
"ENSG00000173175",0.000541215559740439,-2.81851505701599
"ENSG00000235280",0.000632928226258071,-1.26218084311276
"ENSG00000237438",0.000637681918360696,-4.42461445744279
"ENSG00000285212",0.000663621943342336,-7.03343146676085
"ENSG00000198125",0.000769008240351647,-2.58204623598328
"ENSG00000242779",0.000775922881431867,-3.94636694504121
"ENSG00000131668",0.000836948376949503,-4.19693116041421
"ENSG00000073910",0.00113109870573977,-2.10814032237542
"ENSG00000187867",0.00116751097959301,-2.98846348131921
"ENSG00000262267",0.00130955390123636,-6.03913630361798
"ENSG00000042062",0.00139405601513069,-3.20611511067455
"ENSG00000286042",0.00155459773129369,1.48296718472664
"ENSG00000187783",0.00157048123843381,-4.89234805321734
"ENSG00000183837",0.0018522427445826,-6.09528225598369
"ENSG00000196917",0.00192542860735742,-4.59611946493909
"ENSG00000005379",0.00193933395871173,-6.04437844974954
"ENSG00000096088",0.00196361730808308,-4.02327168049476
"ENSG00000234996",0.00218744093619788,-1.97466259620261
"ENSG00000164684",0.00226397453721417,-3.80872627305473
"ENSG00000170775",0.00234328555233132,-5.7324413845019
"ENSG00000053747",0.00244077122384866,-0.643004484366474
"ENSG00000221923",0.00251843774244246,-2.63053687688109
"ENSG00000130294",0.00253591375233655,-3.39575177133538
"ENSG00000129654",0.00254652196041089,-3.66443486876404
"ENSG00000047648",0.00256537513773991,-2.75869930813408
"ENSG00000165821",0.00258807617412327,-1.86829481930789
"ENSG00000197580",0.00272437109370229,-2.38535249707373
"ENSG00000248727",0.00273716419689184,-2.14305350579152
"ENSG00000248801",0.00284004904272455,-2.63596013909601
"ENSG00000086288",0.00294896328194596,-4.06502823291343
"ENSG00000155849",0.00302186336330115,-3.42368531427782
"ENSG00000260549",0.00307455255527998,-7.94768953493692
"ENSG00000137868",0.00308123759097728,-1.27845579308632
"ENSG00000144057",0.00315588133809949,-4.14145476323506
"ENSG00000128268",0.00325213809494024,-2.04029157531505
"ENSG00000122691",0.00333643163039072,-3.99459414138218
"ENSG00000183770",0.00339616450671446,-4.07467341069521
"ENSG00000128591",0.00343460122810146,-2.91110656006296
"ENSG00000183580",0.00350336916142213,-4.59180659458931
"ENSG00000226287",0.00352407432957941,-1.74307849898583
"ENSG00000132182",0.00356395936836509,-0.885331669372593
"ENSG00000183023",0.00358035064863053,-3.78377173017529
"ENSG00000007062",0.00379256195498783,-3.34517210216595
"ENSG00000144028",0.00379961355094379,-0.449590889634065
"ENSG00000130224",0.00384254014016871,-3.68827410670198
"ENSG00000272674",0.00388538795995364,-3.46819147985525
"ENSG00000115457",0.00411207965231957,-3.02833116104582
"ENSG00000155066",0.0041794476552264,-2.89096121452029
"ENSG00000105523",0.00427128477213378,-4.13478760768365
"ENSG00000165323",0.00436385961271982,-2.09843394480381
"ENSG00000130203",0.00439254901849588,-3.43896906796004
"ENSG00000172350",0.004394806778384,-2.10044723501428
"ENSG00000181408",0.0044929671311055,-4.9053506152752
"ENSG00000106258",0.00451070949504543,-3.48974835014338
"ENSG00000166025",0.00454542307135619,-0.564249704165619
"ENSG00000265107",0.00458771797387917,-2.31773220330803
"ENSG00000077092",0.00460905481627965,-3.48389493151714
"ENSG00000185090",0.00463209116839132,-1.13528211557396
"ENSG00000129657",0.00474610223572567,-0.703257959349271
"ENSG00000167641",0.00479079056321411,-2.27605601320929
"ENSG00000092068",0.00479351652057491,-2.79814953757615
"ENSG00000007202",0.00481292323745664,-0.488287508597664
"ENSG00000131477",0.00483567497444797,-6.70339555354152
"ENSG00000182013",0.00486614388105515,-4.55373554919049
"ENSG00000125531",0.0049136936961649,-1.38054748134162
"ENSG00000076770",0.00507191683194451,-4.20767385752245
"ENSG00000146674",0.00515902276662703,-1.73984656872902
"ENSG00000253361",0.00523618495021984,-5.75057692506328
"ENSG00000139209",0.00527820034271291,-1.63725743929827
"ENSG00000174306",0.00529749123687317,-0.664302117246177
"ENSG00000154127",0.00536824568940033,-1.94663843451787
"ENSG00000138615",0.00537891984273242,-2.8118679686423
"ENSG00000133026",0.00540665001493462,-0.772666679965961
"ENSG00000140470",0.00544833611373931,-2.05981466632382
"ENSG00000076706",0.00562253326057137,-0.708028698524203
"ENSG00000133056",0.00562657444289669,-1.13308689760298
"ENSG00000122367",0.00564792384363573,-3.03577733744657
"ENSG00000270547",0.00571634409088633,-1.76296676731521
"ENSG00000129682",0.00571731930574643,-2.96997292542631
"ENSG00000270372",0.00573435690911497,1.28549808195967
"ENSG00000255364",0.00594278125417864,2.07453925670185
"ENSG00000256618",0.00594623954842494,0.442784529824751
"ENSG00000178919",0.00595283650613986,-2.78785526472363
"ENSG00000135423",0.00604503215719147,-1.55695036600956
"ENSG00000145703",0.0060768158954603,-2.07618654840273
"ENSG00000249790",0.00623431039316906,-2.36291688868315
"ENSG00000188505",0.00635187070603015,-4.47851769257816
"ENSG00000144711",0.00635912873219233,-0.50504948734608
"ENSG00000196367",0.00636841126671883,-0.627688804733628
"ENSG00000119681",0.00642160288737708,-1.10154945727259
"ENSG00000149591",0.00643217755938676,-3.9451925127402
"ENSG00000269416",0.00644163696458627,-2.4886076460954
"ENSG00000139737",0.0066184616996966,-1.77301388283542
"ENSG00000278318",0.00663590509515549,-2.25857783652205
"ENSG00000177614",0.00665024216520909,-1.80945590464391
"ENSG00000158813",0.00666795661999178,-4.29896980720631
"ENSG00000116157",0.00672568506028033,-3.05346611363284
"ENSG00000135773",0.00678204072829093,-2.46051366000642
"ENSG00000176029",0.0068198296422482,-3.30404869185096
"ENSG00000143839",0.00682844347837124,-3.90394157829856
"ENSG00000253729",0.00690916044784966,-0.42006379363694
"ENSG00000128242",0.00699191809918023,-2.24120037318133
"ENSG00000135917",0.00704250911926308,-2.14137880497412
"ENSG00000187037",0.00710175243100572,-2.98331343897677
"ENSG00000137747",0.00718280155290315,-2.04832319409854
"ENSG00000137404",0.007244206327491,-1.51497244457683
"ENSG00000124074",0.00724833729079265,-2.0678212301193
"ENSG00000124343",0.00730107401062347,-6.30167679294833
"ENSG00000004399",0.00737454034851131,-1.13627406831936
"ENSG00000197937",0.00741620682974965,-2.01688593772678
"ENSG00000135912",0.00750466413454506,-0.573386334845567
"ENSG00000149639",0.00750740291930134,-0.734714917145738
"ENSG00000138030",0.00774499031953162,-1.79946946067984
"ENSG00000138759",0.00776707670034836,-1.27989218917703
"ENSG00000188322",0.00777489380678155,-2.16216153937045
"ENSG00000101335",0.00777751926074627,-2.75329279319675
"ENSG00000140526",0.00785426474243372,-0.699254316600893
"ENSG00000086967",0.00795189573667669,-3.73363421807101
"ENSG00000167644",0.00803604117510832,0.501524961744075
"ENSG00000181634",0.00805592392374364,-1.31169896815298
"ENSG00000117115",0.00806110303393479,-1.99402132240674
"ENSG00000103710",0.0080773869343213,-1.74130285161544
"ENSG00000206625",0.00813770034351438,-6.28975350644333
"ENSG00000157765",0.00816056623171614,-0.651881260410092
"ENSG00000109846",0.00828676315701817,-1.97493434153109
"ENSG00000050030",0.00829407593156517,-5.46529545837084
"ENSG00000166448",0.00838628909177375,-2.18042109906412
"ENSG00000180447",0.00849640677437817,-2.67395168412273
"ENSG00000136167",0.00857009590099747,-1.75355738900596
"ENSG00000126464",0.00860716269749417,-0.639360748679369
"ENSG00000228205",0.00864301232766664,1.2142194444873
"ENSG00000141556",0.00872250868770267,-0.565375298866264
"ENSG00000101040",0.00872977533141786,-0.636321676231643
"ENSG00000184368",0.00874686966225986,-2.64403802137387
"ENSG00000136783",0.00890479028174299,0.579292368896056
"ENSG00000181192",0.00890982853522711,-0.702027530045975
"ENSG00000196154",0.00893474111249963,-1.7563678773738
"ENSG00000132718",0.00896000354952609,-1.1345510400499
"ENSG00000166126",0.00899189050351475,-1.45088680034682
"ENSG00000134330",0.00908220477906083,-2.85599321295055
"ENSG00000181104",0.00912253224842569,-0.603352234156043
"ENSG00000203485",0.00922965947157157,-1.14522563536374
"ENSG00000212864",0.00930781879583433,-1.25314823675202
"ENSG00000103196",0.00931252085991616,-1.34347940972137
"ENSG00000184515",0.00934799964557894,-2.66563008495562
"ENSG00000138028",0.00935165391515507,-1.70980057369239
"ENSG00000197102",0.00952525001712486,-0.426741752254254
"ENSG00000089154",0.0095263355020305,-0.616185279826091
"ENSG00000166106",0.00955197136112268,-1.97661332373626
"ENSG00000148444",0.00973551964594454,0.484132303834055
"ENSG00000003987",0.00983246964673064,-2.14289299071157
"ENSG00000099998",0.0099054554873083,-2.10516705309078
"ENSG00000251247",0.00991438622232807,-3.46597893705708
"ENSG00000129990",0.00997342932282419,-3.85416016265034
"ENSG00000165084",0.0100047285504551,-2.44949789381533
"ENSG00000134986",0.0100049404882789,-2.95919343111518
"ENSG00000106526",0.0102031685314244,-2.43071030820419
"ENSG00000188883",0.0103354905630209,-0.775129813100084
"ENSG00000101460",0.0103766572004916,-4.84321085967959
"ENSG00000143469",0.0104688936853166,-0.682714391740877
"ENSG00000021645",0.010492174225349,-4.81919363285073
"ENSG00000091831",0.010669516448486,-3.09781748532396
"ENSG00000087303",0.010688000279546,-3.14468754684116
"ENSG00000224307",0.010700186937127,-2.48524573624195
"ENSG00000096433",0.0107466069078397,-0.647411453713923
"ENSG00000261594",0.0107622616526346,-1.67607331580382
"ENSG00000127399",0.0107688160313404,-1.29400774090959
"ENSG00000134824",0.010786566520607,-1.17145360566534
"ENSG00000236333",0.0108502327332661,-2.82673664066141
"ENSG00000131981",0.010868783079793,0.521570518556089
"ENSG00000101210",0.0109509932506832,-1.06844583957859
"ENSG00000247746",0.0110012855458366,-3.39819559013053
"ENSG00000118473",0.0110433179582901,-3.60373121030389
"ENSG00000134250",0.011063811196237,-0.396713381357508
"ENSG00000008513",0.0111132609038613,-0.626058460521336
"ENSG00000163814",0.0112237595737599,-0.643519725564072
"ENSG00000181007",0.0112439520868391,-4.14711643674518
"ENSG00000110042",0.0113770142970948,-2.5280224697841
"ENSG00000141506",0.0115353824257294,-2.16072921745308
"ENSG00000136810",0.0115420097740873,0.516359192957031
"ENSG00000112182",0.0116715364543569,-1.31755726523996
"ENSG00000123384",0.0116961217630304,-0.514474486288244
"ENSG00000268964",0.0117023940765726,-2.09294145405
"ENSG00000081041",0.0119802963087432,-1.14288733447052
"ENSG00000100979",0.0121560576234837,-1.85292136895752
"ENSG00000223802",0.0122495011987571,-1.37829044787458
"ENSG00000135094",0.0123590717245882,-1.85812311227103
"ENSG00000261150",0.0123613865240088,-1.649784006785
"ENSG00000136522",0.0124678924405569,0.475384243942153
"ENSG00000161243",0.0124836290882287,-0.886254739333779
"ENSG00000174989",0.01250029593395,-0.899148058993312
"ENSG00000169562",0.0125193475824073,-2.97199741716727
"ENSG00000256771",0.0125509711875429,-1.99286096222706
"ENSG00000170954",0.0126198942893972,-2.50933069288828
"ENSG00000165949",0.0126284873948843,0.885190583831591
"ENSG00000165443",0.0127485970709523,-1.18881452185873
"ENSG00000189056",0.0127535473556044,-1.77243259895163
"ENSG00000286540",0.0128253913444366,1.89802537340394
"ENSG00000099256",0.0128856025687805,-1.87667819801522
"ENSG00000102226",0.0129146763867271,-0.527012141457511
"ENSG00000151388",0.0129187537502091,-6.38330828742019
"ENSG00000055163",0.0129526517891493,-2.66648203840637
"ENSG00000074181",0.0129832768713876,-1.01262702683662
"ENSG00000142619",0.0130494518046896,-2.76839819966767
"ENSG00000177283",0.0130676921818028,-1.14108838381375
"ENSG00000224093",0.0131800023788971,-3.13595997546412
"ENSG00000145555",0.013193608160949,-0.369280470907149
"ENSG00000187372",0.0132298145161501,-2.0632614833885
"ENSG00000188483",0.0132845849083411,0.394514435041231
"ENSG00000249669",0.0133288679511433,-4.25500113947683
"ENSG00000089250",0.0133717143385699,-1.68962735524788
"ENSG00000137642",0.0134052369153653,-1.42365810239342
