gene_id,counts,sample,quality,length,geneFlag,xFlag,jobFlag
ENSG00000279928,2,SRR31476643,22,35,0,0,19023445
ENSG00000228037,0,SRR31476643,22,35,0,0,19023445
ENSG00000142611,2,SRR31476643,22,35,0,0,19023445
ENSG00000284616,1,SRR31476643,22,35,0,0,19023445
ENSG00000157911,704,SRR31476643,22,35,0,0,19023445
ENSG00000269896,29,SRR31476643,22,35,0,0,19023445
ENSG00000228463,229,SRR31476643,22,35,0,0,19023445
ENSG00000260972,0,SRR31476643,22,35,0,0,19023445
ENSG00000224340,0,SRR31476643,22,35,0,0,19023445
ENSG00000226374,0,SRR31476643,22,35,0,0,19023445
ENSG00000229280,0,SRR31476643,22,35,0,0,19023445
ENSG00000142655,379,SRR31476643,22,35,0,0,19023445
ENSG00000232596,0,SRR31476643,22,35,0,0,19023445
ENSG00000235054,0,SRR31476643,22,35,0,0,19023445
ENSG00000231510,0,SRR31476643,22,35,0,0,19023445
ENSG00000149527,6,SRR31476643,22,35,0,0,19023445
ENSG00000284739,0,SRR31476643,22,35,0,0,19023445
ENSG00000171621,334,SRR31476643,22,35,0,0,19023445
ENSG00000272235,0,SRR31476643,22,35,0,0,19023445
ENSG00000284694,0,SRR31476643,22,35,0,0,19023445
ENSG00000224387,0,SRR31476643,22,35,0,0,19023445
ENSG00000142583,14,SRR31476643,22,35,0,0,19023445
ENSG00000284674,0,SRR31476643,22,35,0,0,19023445
ENSG00000224338,0,SRR31476643,22,35,0,0,19023445
ENSG00000287727,0,SRR31476643,22,35,0,0,19023445
ENSG00000286448,7,SRR31476643,22,35,0,0,19023445
ENSG00000284703,0,SRR31476643,22,35,0,0,19023445
ENSG00000226457,252,SRR31476643,22,35,0,0,19023445
ENSG00000173614,448,SRR31476643,22,35,0,0,19023445
ENSG00000215720,0,SRR31476643,22,35,0,0,19023445
ENSG00000241326,59,SRR31476643,22,35,0,0,19023445
ENSG00000233623,0,SRR31476643,22,35,0,0,19023445
ENSG00000162592,20,SRR31476643,22,35,0,0,19023445
ENSG00000204624,1,SRR31476643,22,35,0,0,19023445
ENSG00000142606,122,SRR31476643,22,35,0,0,19023445
ENSG00000225931,0,SRR31476643,22,35,0,0,19023445
ENSG00000171729,329,SRR31476643,22,35,0,0,19023445
ENSG00000279457,543,SRR31476643,22,35,0,0,19023445
ENSG00000229393,0,SRR31476643,22,35,0,0,19023445
ENSG00000037637,641,SRR31476643,22,35,0,0,19023445
ENSG00000287586,2,SRR31476643,22,35,0,0,19023445
ENSG00000159423,378,SRR31476643,22,35,0,0,19023445
ENSG00000227169,0,SRR31476643,22,35,0,0,19023445
ENSG00000283356,0,SRR31476643,22,35,0,0,19023445
ENSG00000157916,1762,SRR31476643,22,35,0,0,19023445
ENSG00000157881,166,SRR31476643,22,35,0,0,19023445
ENSG00000238290,0,SRR31476643,22,35,0,0,19023445
ENSG00000225387,0,SRR31476643,22,35,0,0,19023445
ENSG00000048707,729,SRR31476643,22,35,0,0,19023445
ENSG00000225196,0,SRR31476643,22,35,0,0,19023445
ENSG00000162444,86,SRR31476643,22,35,0,0,19023445
ENSG00000279625,0,SRR31476643,22,35,0,0,19023445
ENSG00000180758,166,SRR31476643,22,35,0,0,19023445
ENSG00000184677,379,SRR31476643,22,35,0,0,19023445
ENSG00000288398,119,SRR31476643,22,35,0,0,19023445
ENSG00000224621,2,SRR31476643,22,35,0,0,19023445
ENSG00000285833,0,SRR31476643,22,35,0,0,19023445
ENSG00000131697,132,SRR31476643,22,35,0,0,19023445
ENSG00000284692,0,SRR31476643,22,35,0,0,19023445
ENSG00000284745,0,SRR31476643,22,35,0,0,19023445
ENSG00000280222,0,SRR31476643,22,35,0,0,19023445
ENSG00000285945,0,SRR31476643,22,35,0,0,19023445
ENSG00000197921,1,SRR31476643,22,35,0,0,19023445
ENSG00000233755,0,SRR31476643,22,35,0,0,19023445
ENSG00000233929,148,SRR31476643,22,35,0,0,19023445
ENSG00000234166,48,SRR31476643,22,35,0,0,19023445
ENSG00000235282,1,SRR31476643,22,35,0,0,19023445
ENSG00000055070,3073,SRR31476643,22,35,0,0,19023445
ENSG00000175087,447,SRR31476643,22,35,0,0,19023445
ENSG00000230035,0,SRR31476643,22,35,0,0,19023445
ENSG00000225643,3,SRR31476643,22,35,0,0,19023445
ENSG00000284666,0,SRR31476643,22,35,0,0,19023445
ENSG00000228943,0,SRR31476643,22,35,0,0,19023445
ENSG00000234397,584,SRR31476643,22,35,0,0,19023445
ENSG00000284309,0,SRR31476643,22,35,0,0,19023445
ENSG00000162511,6,SRR31476643,22,35,0,0,19023445
ENSG00000158014,35,SRR31476643,22,35,0,0,19023445
ENSG00000204138,1722,SRR31476643,22,35,0,0,19023445
ENSG00000233419,0,SRR31476643,22,35,0,0,19023445
ENSG00000235263,0,SRR31476643,22,35,0,0,19023445
ENSG00000228176,0,SRR31476643,22,35,0,0,19023445
ENSG00000231251,0,SRR31476643,22,35,0,0,19023445
ENSG00000142675,245,SRR31476643,22,35,0,0,19023445
ENSG00000197245,65,SRR31476643,22,35,0,0,19023445
ENSG00000130772,451,SRR31476643,22,35,0,0,19023445
ENSG00000215899,1493,SRR31476643,22,35,0,0,19023445
ENSG00000271398,0,SRR31476643,22,35,0,0,19023445
ENSG00000225011,2,SRR31476643,22,35,0,0,19023445
ENSG00000235069,0,SRR31476643,22,35,0,0,19023445
ENSG00000284676,0,SRR31476643,22,35,0,0,19023445
ENSG00000237058,0,SRR31476643,22,35,0,0,19023445
ENSG00000233399,0,SRR31476643,22,35,0,0,19023445
ENSG00000090020,683,SRR31476643,22,35,0,0,19023445
ENSG00000157978,330,SRR31476643,22,35,0,0,19023445
ENSG00000130770,2669,SRR31476643,22,35,0,0,19023445
ENSG00000229044,188,SRR31476643,22,35,0,0,19023445
ENSG00000162512,1386,SRR31476643,22,35,0,0,19023445
