gene_id,SRR31476642,SRR31476643,SRR31476644,SRR31476645,SRR31476646,SRR31476647,SRR31476648,SRR31476649,SRR31476650
ENSG00000000003,1109,2157,1674,2140,1067,936,1117,1373,1520
ENSG00000000005,0,0,0,0,0,0,0,0,0
ENSG00000000419,3126,2752,2148,2589,2267,1913,2430,3861,3840
ENSG00000000457,483,435,474,450,481,384,444,594,527
ENSG00000000460,395,557,397,534,590,541,581,501,450
ENSG00000000938,0,0,0,0,0,0,0,0,0
ENSG00000000971,414,9,6,14,284,220,216,668,649
ENSG00000001036,1630,1027,934,1255,1944,1893,2220,1713,1771
ENSG00000001084,4262,1125,959,1197,1354,1271,1413,4123,3784
ENSG00000001167,607,794,693,778,774,788,844,881,826
ENSG00000001460,236,217,182,223,303,295,292,252,237
ENSG00000001461,724,753,702,885,1181,1069,1047,802,914
ENSG00000001497,1739,1082,1152,1273,1110,1112,1150,1827,2048
ENSG00000001561,319,297,224,319,518,494,513,468,469
ENSG00000001617,221,574,504,727,396,384,417,265,361
ENSG00000001626,0,4,7,5,2,4,11,6,2
ENSG00000001629,3266,3762,3368,3999,3152,2798,2884,3925,3755
ENSG00000001630,6689,8289,6870,10490,5891,5200,5985,7399,8100
ENSG00000001631,1277,1528,1249,1520,1040,966,928,1667,1473
ENSG00000002016,170,105,121,116,114,107,138,119,136
ENSG00000002079,0,1,3,1,2,4,1,0,1
ENSG00000002330,819,1057,796,1136,1126,933,1199,1111,1076
ENSG00000002549,1083,1050,853,1152,1291,1302,1406,1253,1332
ENSG00000002586,1434,1162,916,1518,1440,1282,1518,1494,1584
ENSG00000002587,0,2,0,0,0,0,2,0,0
ENSG00000002726,2,2,0,4,4,2,6,1,0
ENSG00000002745,1,0,0,1,3,3,4,4,2
ENSG00000002746,25,11,2,8,39,38,25,26,16
ENSG00000002822,433,216,249,255,401,282,350,312,369
ENSG00000002834,9121,10131,10368,11732,10531,9479,10580,9705,9500
ENSG00000002919,918,490,489,519,462,430,526,970,973
ENSG00000002933,0,0,0,0,1,0,0,0,0
ENSG00000003056,4435,4105,3344,4086,4417,4284,4520,5958,6731
ENSG00000003096,714,505,383,453,1545,1164,1347,995,1038
ENSG00000003137,3,1,1,3,7,5,2,0,2
ENSG00000003147,423,151,151,191,163,206,203,391,390
ENSG00000003249,108,168,187,189,202,131,192,124,111
ENSG00000003393,1950,1463,1442,1605,1828,1697,1739,2270,2335
ENSG00000003400,269,219,175,206,309,312,367,323,373
ENSG00000003402,753,661,763,712,922,862,931,874,784
ENSG00000003436,3,5,7,10,14,10,9,3,8
ENSG00000003509,588,416,382,420,485,365,434,726,649
ENSG00000003756,1462,914,991,1052,773,696,725,1677,1576
ENSG00000003987,297,235,217,229,137,197,198,320,284
ENSG00000003989,587,482,402,544,827,813,893,664,617
ENSG00000004059,1303,2468,2046,2968,1331,1242,1360,1517,1731
ENSG00000004139,149,238,221,258,121,147,160,134,108
ENSG00000004142,1646,1706,1650,2276,1531,1398,1534,1755,1946
ENSG00000004399,1343,3899,3714,4424,1754,1627,1568,1454,1408
ENSG00000004455,6587,6922,6214,7584,6022,5278,5920,7964,7665
ENSG00000004468,0,4,3,5,1,1,1,3,0
ENSG00000004478,2725,2890,2576,3552,3069,2861,3389,2885,3066
ENSG00000004487,2264,2718,2405,3343,2782,2454,2729,2405,2510
ENSG00000004534,837,640,711,715,577,496,575,981,922
ENSG00000004660,111,144,118,154,48,53,39,113,135
ENSG00000004700,809,638,609,661,1569,1235,1381,1142,1160
ENSG00000004766,1053,1598,1344,1432,1537,1083,1252,1632,1686
ENSG00000004776,2,0,0,1,1,2,0,0,1
ENSG00000004777,129,168,158,180,212,182,222,162,141
ENSG00000004779,1501,1974,1531,2120,1501,1148,1426,1894,1822
ENSG00000004799,109,156,139,181,289,252,249,147,160
ENSG00000004809,0,0,0,0,0,0,0,0,0
ENSG00000004838,1,6,9,12,1,3,8,2,2
ENSG00000004846,0,2,0,6,1,0,1,1,1
ENSG00000004848,1,0,0,0,1,1,1,0,0
ENSG00000004864,3422,6202,5342,7126,2745,2690,2746,3739,4021
ENSG00000004866,591,788,689,833,769,714,841,629,618
ENSG00000004897,3649,2895,2720,2853,3244,3171,3377,4289,4153
ENSG00000004939,0,0,1,0,0,0,0,0,0
ENSG00000004948,16,1,0,1,56,36,40,14,23
ENSG00000004961,934,1058,956,1193,1097,1058,1224,990,1133
ENSG00000004975,1033,831,894,958,627,609,691,1137,1036
ENSG00000005001,356,834,576,935,540,436,588,462,531
ENSG00000005007,2644,2900,2860,3263,2660,2190,2360,3104,2725
ENSG00000005020,1246,795,629,848,1544,1586,1753,1425,1600
ENSG00000005022,6395,11849,9822,14161,12280,11170,13404,7396,8666
ENSG00000005059,219,129,97,122,489,429,507,289,300
ENSG00000005073,148,22,16,19,122,117,167,144,120
ENSG00000005075,1633,2021,1787,1922,1524,1586,1850,1785,1679
ENSG00000005100,716,616,619,785,537,518,494,708,657
ENSG00000005102,576,886,611,1106,1439,1159,1427,737,814
ENSG00000005108,16,25,17,17,16,10,16,26,20
ENSG00000005156,618,589,543,657,420,451,445,755,647
ENSG00000005175,1433,1434,1217,1436,1755,1390,1589,1721,1723
ENSG00000005187,537,703,595,715,471,387,444,631,581
ENSG00000005189,62,91,96,98,125,92,100,91,74
ENSG00000005194,1597,1095,1073,1336,1091,1030,1172,1638,1830
ENSG00000005206,680,478,372,525,412,304,422,816,696
ENSG00000005238,382,256,242,283,545,498,556,487,481
ENSG00000005243,23,21,21,27,4,8,15,18,24
ENSG00000005249,134,110,74,102,365,342,364,121,127
ENSG00000005302,609,609,617,726,538,426,539,687,714
ENSG00000005339,1019,869,1041,876,587,568,422,992,924
ENSG00000005379,1,19,10,18,0,0,0,0,2
ENSG00000005381,0,0,0,0,0,0,0,0,0
ENSG00000005421,0,0,0,5,0,0,0,1,1
ENSG00000005436,541,384,346,390,461,415,480,616,561
ENSG00000005448,202,320,278,373,208,182,187,185,188
ENSG00000005469,141,251,203,263,316,267,296,228,257
ENSG00000005471,2,4,0,2,5,2,3,0,3
ENSG00000005483,2301,2787,2717,2539,1749,1756,1628,2850,2413
ENSG00000005486,898,731,655,906,1056,927,1004,973,985
ENSG00000005513,17,94,71,104,34,24,38,45,33
