gene_id,counts,sample,quality,length,geneFlag,xFlag,jobFlag
ENSG00000279928,4,SRR31476644,29,47,1,1,19023435
ENSG00000228037,0,SRR31476644,29,47,1,1,19023435
ENSG00000142611,2,SRR31476644,29,47,1,1,19023435
ENSG00000284616,0,SRR31476644,29,47,1,1,19023435
ENSG00000157911,713,SRR31476644,29,47,1,1,19023435
ENSG00000269896,23,SRR31476644,29,47,1,1,19023435
ENSG00000228463,145,SRR31476644,29,47,1,1,19023435
ENSG00000260972,0,SRR31476644,29,47,1,1,19023435
ENSG00000224340,0,SRR31476644,29,47,1,1,19023435
ENSG00000226374,0,SRR31476644,29,47,1,1,19023435
ENSG00000229280,2,SRR31476644,29,47,1,1,19023435
ENSG00000142655,364,SRR31476644,29,47,1,1,19023435
ENSG00000232596,0,SRR31476644,29,47,1,1,19023435
ENSG00000235054,0,SRR31476644,29,47,1,1,19023435
ENSG00000231510,0,SRR31476644,29,47,1,1,19023435
ENSG00000149527,6,SRR31476644,29,47,1,1,19023435
ENSG00000284739,0,SRR31476644,29,47,1,1,19023435
ENSG00000171621,284,SRR31476644,29,47,1,1,19023435
ENSG00000272235,0,SRR31476644,29,47,1,1,19023435
ENSG00000284694,0,SRR31476644,29,47,1,1,19023435
ENSG00000224387,0,SRR31476644,29,47,1,1,19023435
ENSG00000142583,7,SRR31476644,29,47,1,1,19023435
ENSG00000284674,0,SRR31476644,29,47,1,1,19023435
ENSG00000224338,0,SRR31476644,29,47,1,1,19023435
ENSG00000287727,0,SRR31476644,29,47,1,1,19023435
ENSG00000286448,11,SRR31476644,29,47,1,1,19023435
ENSG00000284703,1,SRR31476644,29,47,1,1,19023435
ENSG00000226457,626,SRR31476644,29,47,1,1,19023435
ENSG00000173614,480,SRR31476644,29,47,1,1,19023435
ENSG00000215720,0,SRR31476644,29,47,1,1,19023435
ENSG00000241326,45,SRR31476644,29,47,1,1,19023435
ENSG00000233623,0,SRR31476644,29,47,1,1,19023435
ENSG00000162592,11,SRR31476644,29,47,1,1,19023435
ENSG00000204624,0,SRR31476644,29,47,1,1,19023435
ENSG00000142606,113,SRR31476644,29,47,1,1,19023435
ENSG00000225931,0,SRR31476644,29,47,1,1,19023435
ENSG00000171729,338,SRR31476644,29,47,1,1,19023435
ENSG00000279457,746,SRR31476644,29,47,1,1,19023435
ENSG00000229393,0,SRR31476644,29,47,1,1,19023435
ENSG00000037637,797,SRR31476644,29,47,1,1,19023435
ENSG00000287586,3,SRR31476644,29,47,1,1,19023435
ENSG00000159423,422,SRR31476644,29,47,1,1,19023435
ENSG00000227169,0,SRR31476644,29,47,1,1,19023435
ENSG00000283356,0,SRR31476644,29,47,1,1,19023435
ENSG00000157916,1623,SRR31476644,29,47,1,1,19023435
ENSG00000157881,129,SRR31476644,29,47,1,1,19023435
ENSG00000238290,1,SRR31476644,29,47,1,1,19023435
ENSG00000225387,0,SRR31476644,29,47,1,1,19023435
ENSG00000048707,786,SRR31476644,29,47,1,1,19023435
ENSG00000225196,0,SRR31476644,29,47,1,1,19023435
ENSG00000162444,69,SRR31476644,29,47,1,1,19023435
ENSG00000279625,0,SRR31476644,29,47,1,1,19023435
ENSG00000180758,107,SRR31476644,29,47,1,1,19023435
ENSG00000184677,471,SRR31476644,29,47,1,1,19023435
ENSG00000288398,119,SRR31476644,29,47,1,1,19023435
ENSG00000224621,1,SRR31476644,29,47,1,1,19023435
ENSG00000285833,0,SRR31476644,29,47,1,1,19023435
ENSG00000131697,132,SRR31476644,29,47,1,1,19023435
ENSG00000284692,1,SRR31476644,29,47,1,1,19023435
ENSG00000284745,0,SRR31476644,29,47,1,1,19023435
ENSG00000280222,0,SRR31476644,29,47,1,1,19023435
ENSG00000285945,0,SRR31476644,29,47,1,1,19023435
ENSG00000197921,0,SRR31476644,29,47,1,1,19023435
ENSG00000233755,0,SRR31476644,29,47,1,1,19023435
ENSG00000233929,158,SRR31476644,29,47,1,1,19023435
ENSG00000234166,58,SRR31476644,29,47,1,1,19023435
ENSG00000235282,0,SRR31476644,29,47,1,1,19023435
ENSG00000055070,3179,SRR31476644,29,47,1,1,19023435
ENSG00000175087,406,SRR31476644,29,47,1,1,19023435
ENSG00000230035,0,SRR31476644,29,47,1,1,19023435
ENSG00000225643,2,SRR31476644,29,47,1,1,19023435
ENSG00000284666,0,SRR31476644,29,47,1,1,19023435
ENSG00000228943,0,SRR31476644,29,47,1,1,19023435
ENSG00000234397,280,SRR31476644,29,47,1,1,19023435
ENSG00000284309,0,SRR31476644,29,47,1,1,19023435
ENSG00000162511,6,SRR31476644,29,47,1,1,19023435
